country_txt,iyear,provstate
Philippines,1970,Tarlac
United States,1970,Illinois
United States,1970,California
United States,1970,Wisconsin
United States,1970,Wisconsin
United States,1970,Wisconsin
United States,1970,Colorado
United States,1970,Michigan
United States,1970,Puerto Rico
United States,1970,New York
United States,1970,Puerto Rico
United States,1970,Washington
United States,1970,Illinois
United States,1970,Washington
United States,1970,Washington
United States,1970,New Jersey
Philippines,1970,Metropolitan Manila
United States,1970,Nebraska
United States,1970,Mississippi
United States,1970,New York
United States,1970,Mississippi
United States,1970,New York
United States,1970,Ohio
United States,1970,Washington
United States,1970,Nebraska
United States,1970,Nebraska
United States,1970,Florida
Philippines,1970,Tarlac
United States,1970,Colorado
United States,1970,Oregon
United States,1970,Illinois
United States,1970,New York
United States,1970,New York
United States,1970,New York
United States,1970,Ohio
United States,1970,Colorado
United States,1970,Washington
United States,1970,Washington
United States,1970,Puerto Rico
United States,1970,Puerto Rico
United States,1970,Puerto Rico
United States,1970,Massachusetts
United States,1970,Wisconsin
United States,1970,New York
United States,1970,New York
United States,1970,New York
United States,1970,Ohio
United States,1970,Michigan
United States,1970,California
United States,1970,California
United States,1970,New York
United States,1970,Oregon
United States,1970,California
United States,1970,California
United States,1970,California
United States,1970,California
United States,1970,California
United States,1970,Maryland
United States,1970,Louisiana
United States,1970,Washington
United States,1970,Ohio
United States,1970,California
United States,1970,Connecticut
United States,1970,New York
United States,1970,Washington
United States,1970,New York
United States,1970,New York
United States,1970,New York
United States,1970,Colorado
United States,1970,New York
United States,1970,Wisconsin
United States,1970,Nebraska
United States,1970,Nebraska
United States,1970,Nebraska
United States,1970,Nebraska
United States,1970,Arizona
United States,1970,Colorado
United States,1970,Illinois
United States,1970,Colorado
Philippines,1970,Metropolitian Manila
United States,1970,Colorado
United States,1970,Colorado
United States,1970,Colorado
United States,1970,Colorado
United States,1970,Ohio
United States,1970,Colorado
United States,1970,Washington
United States,1970,California
United States,1970,California
United States,1970,Colorado
United States,1970,Washington
United States,1970,Colorado
United States,1970,Puerto Rico
United States,1970,Michigan
United States,1970,Michigan
United States,1970,California
United States,1970,Alabama
United States,1970,Connecticut
United States,1970,New Mexico
United States,1970,Maryland
United States,1970,Maryland
United States,1970,California
United States,1970,Illinois
United States,1970,New York
United States,1970,New York
United States,1970,Illinois
United States,1970,Illinois
United States,1970,New York
United States,1970,Wisconsin
United States,1970,Wisconsin
Egypt,1970,Alexandria
United States,1970,New York
United States,1970,California
United States,1970,Puerto Rico
United States,1970,Montana
United States,1970,California
United States,1970,California
United States,1970,Ohio
United States,1970,Oregon
United States,1970,Michigan
