groups,country,counts,full_name
Taliban,Afghanistan,7416,Taliban
ISIL,Iraq,4797,Islamic State of Iraq and the Levant (ISIL)
SL,Peru,4541,Shining Path (SL)
FMLN,El Salvador,3330,Farabundo Marti National Liberation Front (FMLN)
Al-Shabaab,Somalia,2858,Al-Shabaab
NPA,Philippines,2753,New People's Army (NPA)
IRA,United Kingdom,2575,Irish Republican Army (IRA)
FARC,Colombia,2457,Revolutionary Armed Forces of Colombia (FARC)
PKK,Turkey,2109,Kurdistan Workers' Party (PKK)
Boko Haram,Nigeria,2086,Boko Haram
ETA,Spain,1972,Basque Fatherland and Freedom (ETA)
CPI-Maoist,India,1873,Communist Party of India - Maoist (CPI-Maoist)
LTTE,Sri Lanka,1584,Liberation Tigers of Tamil Eelam (LTTE)
ELN,Colombia,1523,National Liberation Army of Colombia (ELN)
Maoists,India,1392,Maoists
Tehrik-i-Taliban Pakistan (TTP),Pakistan,1323,Tehrik-i-Taliban Pakistan (TTP)
AQAP,Yemen,1007,Al-Qaida in the Arabian Peninsula (AQAP)
Houthi extremists (Ansar Allah),Yemen,908,Houthi extremists (Ansar Allah)
FDN,Nicaragua,886,Nicaraguan Democratic Force (FDN)
Manuel Rodriguez Patriotic Front (FPMR),Chile,828,Manuel Rodriguez Patriotic Front (FPMR)
Sikh Extremists,India,710,Sikh Extremists
Corsican National Liberation Front (FLNC),France,636,Corsican National Liberation Front (FLNC)
Al-Qaida in Iraq,Iraq,629,Al-Qaida in Iraq
Donetsk People's Republic,Ukraine,623,Donetsk People's Republic
African National Congress (South Africa),South Africa,600,African National Congress (South Africa)
ISIL,Syria,594,Islamic State of Iraq and the Levant (ISIL)
Tupac Amaru Revolutionary Movement (MRTA),Peru,551,Tupac Amaru Revolutionary Movement (MRTA)
M-19 (Movement of April 19),Colombia,543,M-19 (Movement of April 19)
Abu Sayyaf Group (ASG),Philippines,507,Abu Sayyaf Group (ASG)
Fulani extremists,Nigeria,498,Fulani extremists
Palestinians,West Bank and Gaza Strip,489,Palestinians
Palestinians,Israel,472,Palestinians
Sinai Province of the Islamic State,Egypt,440,Sinai Province of the Islamic State
People's Liberation Front (JVP),Sri Lanka,433,People's Liberation Front (JVP)
Al-Shabaab,Kenya,406,Al-Shabaab
National Union for the Total Independence of Angola (UNITA),Angola,393,National Union for the Total Independence of Angola (UNITA)
Bangsamoro Islamic Freedom Movement (BIFM),Philippines,391,Bangsamoro Islamic Freedom Movement (BIFM)
Algerian Islamic Extremists,Algeria,373,Algerian Islamic Extremists
Moro Islamic Liberation Front (MILF),Philippines,362,Moro Islamic Liberation Front (MILF)
United Liberation Front of Assam (ULFA),India,356,United Liberation Front of Assam (ULFA)
