groups,origin,counts
Taliban,Afghanistan,6557
Islamic State of Iraq and the Levant (ISIL),Iraq,4778
Shining Path (SL),Peru,4425
Farabundo Marti National Liberation Front (FMLN),El Salvador,3301
New People's Army (NPA),Philippines,2684
Revolutionary Armed Forces of Colombia (FARC),Colombia,2376
Kurdistan Workers' Party (PKK),Turkey,2244
Al-Shabaab,Somalia,2142
Boko Haram,Nigeria,2064
Communist Party of India - Maoist (CPI-Maoist),India,1866
Basque Fatherland and Freedom (ETA),Spain,1816
Irish Republican Army (IRA),Northern Ireland,1514
Liberation Tigers of Tamil Eelam (LTTE),Sri Lanka,1471
National Liberation Army of Colombia (ELN),Colombia,1415
Maoists,India,1393
Tehrik-i-Taliban Pakistan (TTP),Pakistan,1274
Irish Republican Army (IRA),Great Britain,1087
Al-Qaida in the Arabian Peninsula (AQAP),Yemen,967
Nicaraguan Democratic Force (FDN),Nicaragua,888
Houthi extremists (Ansar Allah),Yemen,858
